time_stamps,x_coordinate,y_coordinate,pupilL,pupilR
0.326666666666667,0.4847606,0.1732301,4.983231,4.853622
0.33,0.4881231,0.1738444,4.983109,4.85257
0.333333333333333,0.4870532,0.1713168,4.986801,4.849854
0.336666666666667,0.4881024,0.1740155,4.978012,4.846832
0.34,0.4865883,0.1708135,4.975616,4.842651
0.343333333333333,0.4856995,0.1714633,4.973099,4.84024
0.346666666666667,0.4891356,0.1680273,4.974915,4.839172
0.35,0.4888697,0.1688602,4.979111,4.840088
0.353333333333333,0.4881206,0.1674788,4.969498,4.833374
0.356666666666667,0.4867932,0.1676282,4.968216,4.833099
0.36,0.4868691,0.1665542,4.967209,4.830429
0.363333333333333,0.4859707,0.1663525,4.963287,4.827194
0.366666666666667,0.49333,0.2110016,4.947906,4.842972
0.37,0.4944294,0.2167335,4.952286,4.839233
0.373333333333333,0.494692,0.2147866,4.944946,4.835617
0.376666666666667,0.4925088,0.210725,4.939651,4.835388
0.38,0.4923632,0.2157389,4.946854,4.83046
0.383333333333333,0.492148,0.2107116,4.936325,4.829285
0.386666666666667,0.4915612,0.2100057,4.934845,4.826538
0.39,0.4917334,0.2122476,4.937714,4.82399
0.393333333333333,0.4922403,0.2098946,4.927658,4.82106
0.396666666666667,0.4920186,0.210247,4.926041,4.818436
0.4,0.4922931,0.2091021,4.924561,4.815918
0.403333333333333,0.4915702,0.2069664,4.919861,4.811935
0.406666666666667,0.4921333,0.2107905,4.92421,4.81041
0.41,0.4928329,0.2092741,4.912781,4.80661
0.413333333333333,0.4926081,0.2088544,4.91098,4.803452
0.416666666666667,0.4926842,0.2090697,4.90947,4.800827
0.42,0.4913087,0.2052499,4.903885,4.798935
0.423333333333333,0.4912058,0.2025418,4.901459,4.799957
0.426666666666667,0.4927371,0.2066888,4.898773,4.794205
0.43,0.4928862,0.2065068,4.896027,4.791534
0.433333333333333,0.492122,0.2032599,4.896759,4.790176
0.436666666666667,0.4909958,0.199548,4.894226,4.78627
0.44,0.4913352,0.1992435,4.892181,4.784058
0.443333333333333,0.4920343,0.207478,4.887604,4.779663
0.446666666666667,0.4914343,0.2000593,4.884232,4.775162
0.45,0.4909972,0.1996549,4.883377,4.773636
0.453333333333333,0.4891652,0.1929528,4.880997,4.771484
0.456666666666667,0.4881695,0.1893219,4.87944,4.767731
0.46,0.491307,0.1986087,4.871994,4.763626
0.463333333333333,0.4947529,0.2003996,4.870758,4.758224
0.466666666666667,0.4903347,0.2018949,4.865433,4.755524
0.47,0.4877305,0.1971337,4.861664,4.754608
0.473333333333333,0.4899919,0.1971893,4.85527,4.751572
0.476666666666667,0.4891682,0.1965069,4.852661,4.749924
0.48,0.4902516,0.2028476,4.863693,4.745804
0.483333333333333,0.4913369,0.2002086,4.848145,4.74086
0.486666666666667,0.495702,0.2089065,4.845352,4.739914
0.49,0.490584,0.1973665,4.841522,4.73822
0.493333333333333,0.487657,0.1921635,4.836121,4.734283
0.496666666666667,0.4937688,0.2059841,4.840103,4.732864
0.5,0.4930874,0.2054993,4.826736,4.728287
0.503333333333333,0.4931002,0.2154878,4.844559,4.724411
0.506666666666667,0.4945643,0.2055,4.828827,4.720917
0.51,0.4945993,0.2042612,4.82402,4.71553
0.513333333333333,0.4915949,0.2033874,4.815903,4.712708
0.516666666666667,0.4895454,0.2017097,4.810013,4.708618
0.52,0.4895956,0.2019457,4.800888,4.703964
0.523333333333333,0.4866598,0.1944226,4.796631,4.700363
0.526666666666667,0.4868524,0.1942376,4.788605,4.695541
0.53,0.4886931,0.2057673,4.784546,4.693146
0.533333333333333,0.4826852,0.2127045,4.779053,4.692429
0.536666666666667,0.4721318,0.2074552,4.770218,4.687881
0.54,0.4615828,0.1946285,4.760132,4.673264
0.543333333333333,0.4586184,0.1935935,4.750885,4.665329
0.546666666666667,0.461782,0.1924949,4.739105,4.661346
0.55,0.4702153,0.1963244,4.740952,4.657516
0.553333333333333,0.4693814,0.1966505,4.737442,4.65181
0.556666666666667,0.4697992,0.19989,4.732056,4.64859
0.56,0.4690947,0.2067918,4.72113,4.63887
0.563333333333333,0.4697546,0.2055214,4.71254,4.630524
0.566666666666667,0.4692903,0.2057725,4.708786,4.628876
